ID	chrom	loc.start	loc.end	Num_Probes	Segment_Mean
test	chr1	65902	792358	13	-0.339977090421022
test	chr1	861381	1323344	242	-1.23077709042102
test	chr1	1323999	1341181	15	-0.261177090421022
test	chr1	9990488	10596263	141	-0.0816770904210221
test	chr2	239306169	240098221	37	-1.12847709042102
test	chr2	240111565	241389337	54	-0.348777090421022
test	chr3	133928692	135980841	89	-0.0607770904210221
test	chr3	136002671	136002796	2	1.63602290957898
test	chrX	9733811	9914838	18	-1.21047709042102
test	chrX	9917466	11316307	77	-0.118477090421022
